DTE,BARRIS,DOSZEROONZE,DOSZERODEU,DOSZEROZERONOU,DOSZEROZEROVUIT
1,"1. el Raval",2.176,2.445,2.773,3.065
1,"2. el Barri Gòtic",2.632,3.026,3.750,3.828
1,"3. la Barceloneta",2.135,3.005,--,--
1,"4. Sant Pere Santa Caterina i la Ribera",2.482,2.828,3.146,3.450
2,"5. el Fort Pienc",2.224,2.422,2.736,2.893
2,"6. la Sagrada Família",2.267,2.490,2.535,2.677
2,"7. la Dreta de l'Eixample",2.302,2.649,2.606,3.134
2,"8. l'Antiga Esquerra de l'Eixample",2.471,3.006,3.068,3.583
2,"9. la Nova Esquerra de l'Eixample",2.314,2.802,2.973,3.337
2,"10. Sant Antoni",2.051,2.369,2.833,2.953
3,"11. el Poble Sec - Parc Montjuïc",1.681,1.867,2.114,2.817
3,"12. la Marina del Prat Vermell - Zona Franca",--,--,--,1.895
3,"13. la Marina de Port",1.968,2.425,2.723,3.121
3,"14. la Font de la Guatlla",2.566,2.317,2.533,2.375
3,"15. Hostafrancs",1.772,1.944,2.391,2.634
3,"16. la Bordeta",2.177,2.290,2.301,2.258
3,"17. Sants - Badal",1.533,1.665,1.755,2.223
3,"18. Sants",1.838,2.050,2.216,2.256
4,"19. les Corts",2.203,2.862,3.042,3.330
4,"20. la Maternitat i Sant Ramon",2.470,2.795,2.863,3.122
4,"21. Pedralbes",--,--,--,--
5,"22. Vallvidrera el Tibidabo i les Planes",--,--,--,--
5,"23. Sarrià",2.969,3.502,3.293,3.396
5,"24. les Tres Torres",2.411,2.993,3.362,4.235
5,"25. Sant Gervasi - la Bonanova",3.022,3.028,3.243,3.355
5,"26. Sant Gervasi - Galvany",3.351,3.989,3.727,4.326
5,"27. el Putxet i el Farró",2.535,2.637,2.505,3.243
6,"28. Vallcarca i els Penitents",1.907,2.027,2.192,2.315
6,"29. el Coll",1.772,1.864,2.111,2.066
6,"30. la Salut",2.242,2.525,2.341,2.718
6,"31. la Vila de Gràcia",2.147,2.380,2.749,3.115
6,"32. el Camp d'en Grassot i Gràcia Nova",1.980,2.209,2.896,2.835
7,"33. el Baix Guinardó",1.842,2.102,2.230,2.546
7,"34. Can Baró",1.436,1.595,1.941,2.100
7,"35. el Guinardó",1.760,1.902,1.963,2.335
7,"36. la Font d'en Fargues",--,--,--,--
7,"37. el Carmel",1.422,1.703,2.023,1.973
7,"38. la Teixonera",1.110,1.289,1.387,1.943
7,"39. Sant Genís dels Agudells",--,--,--,--
7,"40. Montbau",--,--,--,--
7,"41. la Vall d'Hebron",--,--,--,--
7,"42. la Clota",--,--,--,--
7,"43. Horta",1.729,1.918,1.888,2.019
8,"44. Vilapicina i la Torre Llobeta",1.795,1.671,1.963,1.671
8,"45. Porta",1.768,1.823,2.368,1.902
8,"46. el Turó de la Peira",1.572,--,--,--
8,"47. Can Peguera",--,--,--,2.936
8,"48. la Guineueta",--,--,--,--
8,"49. Canyelles",--,1.828,--,--
8,"50. les Roquetes",1.499,1.505,1.437,1.887
8,"51. Verdun",1.471,--,--,1.746
8,"52. la Prosperitat",1.385,1.562,1.645,2.005
8,"53. la Trinitat Nova",--,--,--,--
8,"54. Torre Baró",--,--,--,--
8,"55. Ciutat Meridiana",1.729,--,--,--
8,"56. Vallbona",--,--,--,--
9,"57. la Trinitat Vella",1.196,1.431,1.527,1.604
9,"58. Baró de Viver",--,--,--,--
9,"59. el Bon Pastor",1.539,1.437,1.656,1.491
9,"60. Sant Andreu",1.684,1.949,2.058,2.597
9,"61. la Sagrera",1.234,1.919,1.871,2.577
9,"62. el Congrés i els Indians",1.669,1.912,2.102,2.416
9,"63. Navas",1.656,1.928,2.445,2.664
10,"64. el Camp de l'Arpa del Clot",1.927,2.175,2.206,2.698
10,"65. el Clot",2.239,2.288,2.546,2.960
10,"66. el Parc i la Llacuna del Poblenou",2.029,2.277,2.392,2.307
10,"67. la Vila Olímpica del Poblenou",2.377,2.700,--,--
10,"68. el Poblenou",2.240,2.441,2.720,3.169
10,"69. Diagonal Mar i el Front Marítim del Poblenou",2.651,2.991,2.445,3.752
10,"70. el Besòs i el Maresme",2.121,2.751,2.842,3.669
10,"71. Provençals del Poblenou",2.255,2.516,2.660,3.857
10,"72. Sant Martí de Provençals",1.812,2.175,2.266,1.957
10,"73. la Verneda i la Pau",1.534,1.915,1.973,2.199
